Algorithm,FS Method,Balancing Method,Normalized,class,accuracy,precision,recall,f1-score,support
Knn 2,Pearson Coeff,Not balanced,Standardization,0,,1.0,0.2,0.33333333333333337,5
Knn 2,Pearson Coeff,Not balanced,Standardization,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 3,Pearson Coeff,Not balanced,Standardization,0,,1.0,0.25,0.4,4
Knn 3,Pearson Coeff,Not balanced,Standardization,1,,0.896551724137931,1.0,0.9454545454545454,26
Knn 4,Pearson Coeff,Not balanced,Standardization,0,,0.3333333333333333,0.25,0.28571428571428575,4
Knn 4,Pearson Coeff,Not balanced,Standardization,1,,0.8888888888888888,0.9230769230769231,0.9056603773584906,26
Knn 5,Pearson Coeff,Not balanced,Standardization,0,,1.0,0.25,0.4,4
Knn 5,Pearson Coeff,Not balanced,Standardization,1,,0.896551724137931,1.0,0.9454545454545454,26
Knn mean,Pearson Coeff,Not balanced,Standardization,0,0.8621505376344085,0.7333333333333333,0.22999999999999998,0.3338095238095239
Knn mean,Pearson Coeff,Not balanced,Standardization,1,0.8621505376344085,0.8811603721948551,0.9692307692307693,0.9228059571455798
Knn 1,Pearson Coeff,Not balanced,MinMax Scaler,0,,0.3333333333333333,0.2,0.25,5
Knn 1,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.8571428571428571,0.9230769230769231,0.888888888888889,26
Knn 2,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,0.2,0.33333333333333337,5
Knn 2,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 3,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,0.25,0.4,4
Knn 3,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.896551724137931,1.0,0.9454545454545454,26
Knn 4,Pearson Coeff,Not balanced,MinMax Scaler,0,,0.3333333333333333,0.25,0.28571428571428575,4
Knn 4,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.8888888888888888,0.9230769230769231,0.9056603773584906,26
Knn 5,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,0.25,0.4,4
Knn 5,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.896551724137931,1.0,0.9454545454545454,26
Knn mean,Pearson Coeff,Not balanced,MinMax Scaler,0,0.8621505376344085,0.7333333333333333,0.22999999999999998,0.3338095238095239
Knn mean,Pearson Coeff,Not balanced,MinMax Scaler,1,0.8621505376344085,0.8811603721948551,0.9692307692307693,0.9228059571455798
Knn 1,Pearson Coeff,Not balanced,Not Normalized,0,,0.3333333333333333,0.2,0.25,5
Knn 1,Pearson Coeff,Not balanced,Not Normalized,1,,0.8571428571428571,0.9230769230769231,0.888888888888889,26
Knn 2,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,0.2,0.33333333333333337,5
Knn 2,Pearson Coeff,Not balanced,Not Normalized,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 3,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,0.25,0.4,4
Knn 3,Pearson Coeff,Not balanced,Not Normalized,1,,0.896551724137931,1.0,0.9454545454545454,26
Knn 4,Pearson Coeff,Not balanced,Not Normalized,0,,0.3333333333333333,0.25,0.28571428571428575,4
Knn 4,Pearson Coeff,Not balanced,Not Normalized,1,,0.8888888888888888,0.9230769230769231,0.9056603773584906,26
Knn 5,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,0.25,0.4,4
Knn 5,Pearson Coeff,Not balanced,Not Normalized,1,,0.896551724137931,1.0,0.9454545454545454,26
Knn mean,Pearson Coeff,Not balanced,Not Normalized,0,0.8621505376344085,0.7333333333333333,0.22999999999999998,0.3338095238095239
Knn mean,Pearson Coeff,Not balanced,Not Normalized,1,0.8621505376344085,0.8811603721948551,0.9692307692307693,0.9228059571455798
Knn 1,Information Gain,Random Over Sampler,Standardization,0,,0.3,0.6,0.4,5
Knn 1,Information Gain,Random Over Sampler,Standardization,1,,0.9047619047619048,0.7307692307692307,0.8085106382978723,26
Knn 2,Information Gain,Random Over Sampler,Standardization,0,,0.2857142857142857,0.4,0.3333333333333333,5
Knn 2,Information Gain,Random Over Sampler,Standardization,1,,0.875,0.8076923076923077,0.8400000000000001,26
Knn 3,Information Gain,Random Over Sampler,Standardization,0,,0.2857142857142857,0.5,0.36363636363636365,4
Knn 3,Information Gain,Random Over Sampler,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
Knn 4,Information Gain,Random Over Sampler,Standardization,0,,0.3,0.75,0.4285714285714285,4
Knn 4,Information Gain,Random Over Sampler,Standardization,1,,0.95,0.7307692307692307,0.8260869565217392,26
Knn 5,Information Gain,Random Over Sampler,Standardization,0,,0.16666666666666666,0.5,0.25,4
Knn 5,Information Gain,Random Over Sampler,Standardization,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
Knn mean,Information Gain,Random Over Sampler,Standardization,0,0.7103225806451613,0.2676190476190476,0.55,0.3551082251082251
Knn mean,Information Gain,Random Over Sampler,Standardization,1,0.7103225806451613,0.9063388543823325,0.7384615384615384,0.8118026358470392
Knn 1,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.3,0.6,0.4,5
Knn 1,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.9047619047619048,0.7307692307692307,0.8085106382978723,26
Knn 2,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.2857142857142857,0.4,0.3333333333333333,5
Knn 2,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.875,0.8076923076923077,0.8400000000000001,26
Knn 3,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.2857142857142857,0.5,0.36363636363636365,4
Knn 3,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
Knn 4,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.3,0.75,0.4285714285714285,4
Knn 4,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.95,0.7307692307692307,0.8260869565217392,26
Knn 5,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.16666666666666666,0.5,0.25,4
Knn 5,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
Knn mean,Information Gain,Random Over Sampler,MinMax Scaler,0,0.7103225806451613,0.2676190476190476,0.55,0.3551082251082251
Knn mean,Information Gain,Random Over Sampler,MinMax Scaler,1,0.7103225806451613,0.9063388543823325,0.7384615384615384,0.8118026358470392
Knn 1,Information Gain,Random Over Sampler,Not Normalized,0,,0.3,0.6,0.4,5
Knn 1,Information Gain,Random Over Sampler,Not Normalized,1,,0.9047619047619048,0.7307692307692307,0.8085106382978723,26
Knn 2,Information Gain,Random Over Sampler,Not Normalized,0,,0.2857142857142857,0.4,0.3333333333333333,5
Knn 2,Information Gain,Random Over Sampler,Not Normalized,1,,0.875,0.8076923076923077,0.8400000000000001,26
Knn 3,Information Gain,Random Over Sampler,Not Normalized,0,,0.2857142857142857,0.5,0.36363636363636365,4
Knn 3,Information Gain,Random Over Sampler,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
Knn 4,Information Gain,Random Over Sampler,Not Normalized,0,,0.3,0.75,0.4285714285714285,4
Knn 4,Information Gain,Random Over Sampler,Not Normalized,1,,0.95,0.7307692307692307,0.8260869565217392,26
Knn 5,Information Gain,Random Over Sampler,Not Normalized,0,,0.16666666666666666,0.5,0.25,4
Knn 5,Information Gain,Random Over Sampler,Not Normalized,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
