Algorithm,FS Method,Balancing Method,Normalized,class,accuracy,precision,recall,f1-score,support
Knn 3,Fisher Score,Random Over Sampler,Not Normalized,1,,0.9090909090909091,0.7692307692307693,0.8333333333333333,26
Knn 4,Fisher Score,Random Over Sampler,Not Normalized,0,,0.18181818181818182,0.5,0.26666666666666666,4
Knn 4,Fisher Score,Random Over Sampler,Not Normalized,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
Knn 5,Fisher Score,Random Over Sampler,Not Normalized,0,,0.16666666666666666,0.5,0.25,4
Knn 5,Fisher Score,Random Over Sampler,Not Normalized,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
Knn mean,Fisher Score,Random Over Sampler,Not Normalized,0,0.6513978494623656,0.21060606060606063,0.5,0.29500000000000004
Knn mean,Fisher Score,Random Over Sampler,Not Normalized,1,0.6513978494623656,0.8885433280170123,0.676923076923077,0.7675801493192799
Knn 1,Fisher Score,Random Under Sampler,Standardization,0,,0.1875,0.6,0.2857142857142857,5
Knn 1,Fisher Score,Random Under Sampler,Standardization,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 2,Fisher Score,Random Under Sampler,Standardization,0,,0.23076923076923078,0.6,0.33333333333333337,5
Knn 2,Fisher Score,Random Under Sampler,Standardization,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
Knn 3,Fisher Score,Random Under Sampler,Standardization,0,,0.23076923076923078,0.75,0.3529411764705882,4
Knn 3,Fisher Score,Random Under Sampler,Standardization,1,,0.9411764705882353,0.6153846153846154,0.744186046511628,26
Knn 4,Fisher Score,Random Under Sampler,Standardization,0,,0.13333333333333333,0.5,0.2105263157894737,4
Knn 4,Fisher Score,Random Under Sampler,Standardization,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 5,Fisher Score,Random Under Sampler,Standardization,0,,0.25,0.75,0.375,4
Knn 5,Fisher Score,Random Under Sampler,Standardization,1,,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
Knn mean,Fisher Score,Random Under Sampler,Standardization,0,0.5858064516129031,0.206474358974359,0.64,0.3115030222615362
Knn mean,Fisher Score,Random Under Sampler,Standardization,1,0.5858064516129031,0.9015686274509804,0.5769230769230769,0.7024957458876916
Knn 1,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.1875,0.6,0.2857142857142857,5
Knn 1,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 2,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.23076923076923078,0.6,0.33333333333333337,5
Knn 2,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
Knn 3,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.23076923076923078,0.75,0.3529411764705882,4
Knn 3,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.9411764705882353,0.6153846153846154,0.744186046511628,26
Knn 4,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.13333333333333333,0.5,0.2105263157894737,4
Knn 4,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 5,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.25,0.75,0.375,4
Knn 5,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
Knn mean,Fisher Score,Random Under Sampler,MinMax Scaler,0,0.5858064516129031,0.206474358974359,0.64,0.3115030222615362
Knn mean,Fisher Score,Random Under Sampler,MinMax Scaler,1,0.5858064516129031,0.9015686274509804,0.5769230769230769,0.7024957458876916
Knn 1,Fisher Score,Random Under Sampler,Not Normalized,0,,0.1875,0.6,0.2857142857142857,5
Knn 1,Fisher Score,Random Under Sampler,Not Normalized,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 2,Fisher Score,Random Under Sampler,Not Normalized,0,,0.23076923076923078,0.6,0.33333333333333337,5
Knn 2,Fisher Score,Random Under Sampler,Not Normalized,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
Knn 3,Fisher Score,Random Under Sampler,Not Normalized,0,,0.23076923076923078,0.75,0.3529411764705882,4
Knn 3,Fisher Score,Random Under Sampler,Not Normalized,1,,0.9411764705882353,0.6153846153846154,0.744186046511628,26
Knn 4,Fisher Score,Random Under Sampler,Not Normalized,0,,0.13333333333333333,0.5,0.2105263157894737,4
Knn 4,Fisher Score,Random Under Sampler,Not Normalized,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 5,Fisher Score,Random Under Sampler,Not Normalized,0,,0.25,0.75,0.375,4
Knn 5,Fisher Score,Random Under Sampler,Not Normalized,1,,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
Knn mean,Fisher Score,Random Under Sampler,Not Normalized,0,0.5858064516129031,0.206474358974359,0.64,0.3115030222615362
Knn mean,Fisher Score,Random Under Sampler,Not Normalized,1,0.5858064516129031,0.9015686274509804,0.5769230769230769,0.7024957458876916
Knn 1,Fisher Score,Not balanced,Standardization,0,,0.0,0.0,0.0,5
Knn 1,Fisher Score,Not balanced,Standardization,1,,0.8275862068965517,0.9230769230769231,0.8727272727272727,26
Knn 2,Fisher Score,Not balanced,Standardization,0,,1.0,0.0,0.0,5
Knn 2,Fisher Score,Not balanced,Standardization,1,,0.8387096774193549,1.0,0.9122807017543859,26
Knn 3,Fisher Score,Not balanced,Standardization,0,,1.0,0.0,0.0,4
Knn 3,Fisher Score,Not balanced,Standardization,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 4,Fisher Score,Not balanced,Standardization,0,,1.0,0.0,0.0,4
Knn 4,Fisher Score,Not balanced,Standardization,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 5,Fisher Score,Not balanced,Standardization,0,,0.0,0.0,0.0,4
Knn 5,Fisher Score,Not balanced,Standardization,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
Knn mean,Fisher Score,Not balanced,Standardization,0,0.8359139784946237,0.6,0.0,0.0
Knn mean,Fisher Score,Not balanced,Standardization,1,0.8359139784946237,0.8523396366332963,0.976923076923077,0.910248348143085
Knn 1,Fisher Score,Not balanced,MinMax Scaler,0,,0.0,0.0,0.0,5
Knn 1,Fisher Score,Not balanced,MinMax Scaler,1,,0.8275862068965517,0.9230769230769231,0.8727272727272727,26
Knn 2,Fisher Score,Not balanced,MinMax Scaler,0,,1.0,0.0,0.0,5
Knn 2,Fisher Score,Not balanced,MinMax Scaler,1,,0.8387096774193549,1.0,0.9122807017543859,26
Knn 3,Fisher Score,Not balanced,MinMax Scaler,0,,1.0,0.0,0.0,4
Knn 3,Fisher Score,Not balanced,MinMax Scaler,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 4,Fisher Score,Not balanced,MinMax Scaler,0,,1.0,0.0,0.0,4
Knn 4,Fisher Score,Not balanced,MinMax Scaler,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 5,Fisher Score,Not balanced,MinMax Scaler,0,,0.0,0.0,0.0,4
Knn 5,Fisher Score,Not balanced,MinMax Scaler,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
Knn mean,Fisher Score,Not balanced,MinMax Scaler,0,0.8359139784946237,0.6,0.0,0.0
Knn mean,Fisher Score,Not balanced,MinMax Scaler,1,0.8359139784946237,0.8523396366332963,0.976923076923077,0.910248348143085
Knn 1,Fisher Score,Not balanced,Not Normalized,0,,0.0,0.0,0.0,5
Knn 1,Fisher Score,Not balanced,Not Normalized,1,,0.8275862068965517,0.9230769230769231,0.8727272727272727,26
Knn 2,Fisher Score,Not balanced,Not Normalized,0,,1.0,0.0,0.0,5
Knn 2,Fisher Score,Not balanced,Not Normalized,1,,0.8387096774193549,1.0,0.9122807017543859,26
Knn 3,Fisher Score,Not balanced,Not Normalized,0,,1.0,0.0,0.0,4
Knn 3,Fisher Score,Not balanced,Not Normalized,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 4,Fisher Score,Not balanced,Not Normalized,0,,1.0,0.0,0.0,4
Knn 4,Fisher Score,Not balanced,Not Normalized,1,,0.8666666666666667,1.0,0.9285714285714286,26
Knn 5,Fisher Score,Not balanced,Not Normalized,0,,0.0,0.0,0.0,4
Knn 5,Fisher Score,Not balanced,Not Normalized,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
Knn mean,Fisher Score,Not balanced,Not Normalized,0,0.8359139784946237,0.6,0.0,0.0
Knn mean,Fisher Score,Not balanced,Not Normalized,1,0.8359139784946237,0.8523396366332963,0.976923076923077,0.910248348143085
SVM 1,Pearson Coeff,Random Over Sampler,Standardization,0,,0.4,0.4,0.4000000000000001,5
SVM 1,Pearson Coeff,Random Over Sampler,Standardization,1,,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
SVM 2,Pearson Coeff,Random Over Sampler,Standardization,0,,0.375,0.6,0.4615384615384615,5
SVM 2,Pearson Coeff,Random Over Sampler,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 3,Pearson Coeff,Random Over Sampler,Standardization,0,,0.5,0.25,0.3333333333333333,4
SVM 3,Pearson Coeff,Random Over Sampler,Standardization,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 4,Pearson Coeff,Random Over Sampler,Standardization,0,,0.5,0.25,0.3333333333333333,4
SVM 4,Pearson Coeff,Random Over Sampler,Standardization,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 5,Pearson Coeff,Random Over Sampler,Standardization,0,,0.3333333333333333,0.75,0.46153846153846156,4
SVM 5,Pearson Coeff,Random Over Sampler,Standardization,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
SVM mean,Pearson Coeff,Random Over Sampler,Standardization,0,0.8161290322580645,0.4216666666666667,0.45,0.39794871794871794
SVM mean,Pearson Coeff,Random Over Sampler,Standardization,1,0.8161290322580645,0.9071508201942985,0.876923076923077,0.8889347846794656
SVM 1,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,0.4,0.4,0.4000000000000001,5
SVM 1,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
SVM 2,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,0.375,0.6,0.4615384615384615,5
SVM 2,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 3,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,0.5,0.25,0.3333333333333333,4
SVM 3,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 4,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,0.5,0.25,0.3333333333333333,4
SVM 4,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 5,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,0.3333333333333333,0.75,0.46153846153846156,4
SVM 5,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
SVM mean,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,0.8161290322580645,0.4216666666666667,0.45,0.39794871794871794
SVM mean,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,0.8161290322580645,0.9071508201942985,0.876923076923077,0.8889347846794656
SVM 1,Pearson Coeff,Random Over Sampler,Not Normalized,0,,0.4,0.4,0.4000000000000001,5
SVM 1,Pearson Coeff,Random Over Sampler,Not Normalized,1,,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
SVM 2,Pearson Coeff,Random Over Sampler,Not Normalized,0,,0.375,0.6,0.4615384615384615,5
SVM 2,Pearson Coeff,Random Over Sampler,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 3,Pearson Coeff,Random Over Sampler,Not Normalized,0,,0.5,0.25,0.3333333333333333,4
SVM 3,Pearson Coeff,Random Over Sampler,Not Normalized,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 4,Pearson Coeff,Random Over Sampler,Not Normalized,0,,0.5,0.25,0.3333333333333333,4
SVM 4,Pearson Coeff,Random Over Sampler,Not Normalized,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 5,Pearson Coeff,Random Over Sampler,Not Normalized,0,,0.3333333333333333,0.75,0.46153846153846156,4
SVM 5,Pearson Coeff,Random Over Sampler,Not Normalized,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
SVM mean,Pearson Coeff,Random Over Sampler,Not Normalized,0,0.8161290322580645,0.4216666666666667,0.45,0.39794871794871794
SVM mean,Pearson Coeff,Random Over Sampler,Not Normalized,1,0.8161290322580645,0.9071508201942985,0.876923076923077,0.8889347846794656
SVM 1,Pearson Coeff,Random Under Sampler,Standardization,0,,0.2727272727272727,0.6,0.37499999999999994,5
SVM 1,Pearson Coeff,Random Under Sampler,Standardization,1,,0.9,0.6923076923076923,0.7826086956521738,26
SVM 2,Pearson Coeff,Random Under Sampler,Standardization,0,,0.25,0.6,0.35294117647058826,5
SVM 2,Pearson Coeff,Random Under Sampler,Standardization,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
SVM 3,Pearson Coeff,Random Under Sampler,Standardization,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 3,Pearson Coeff,Random Under Sampler,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 4,Pearson Coeff,Random Under Sampler,Standardization,0,,0.16666666666666666,0.5,0.25,4
SVM 4,Pearson Coeff,Random Under Sampler,Standardization,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
SVM 5,Pearson Coeff,Random Under Sampler,Standardization,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 5,Pearson Coeff,Random Under Sampler,Standardization,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM mean,Pearson Coeff,Random Under Sampler,Standardization,0,0.6778494623655915,0.24956709956709955,0.5900000000000001,0.34831550802139033
SVM mean,Pearson Coeff,Random Under Sampler,Standardization,1,0.6778494623655915,0.9088075260615307,0.6923076923076923,0.7845159671246628
SVM 1,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,0.2727272727272727,0.6,0.37499999999999994,5
SVM 1,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,0.9,0.6923076923076923,0.7826086956521738,26
SVM 2,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,0.25,0.6,0.35294117647058826,5
SVM 2,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
SVM 3,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 3,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 4,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,0.16666666666666666,0.5,0.25,4
SVM 4,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
SVM 5,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 5,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM mean,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,0.6778494623655915,0.24956709956709955,0.5900000000000001,0.34831550802139033
SVM mean,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,0.6778494623655915,0.9088075260615307,0.6923076923076923,0.7845159671246628
SVM 1,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.2727272727272727,0.6,0.37499999999999994,5
SVM 1,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.9,0.6923076923076923,0.7826086956521738,26
SVM 2,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.25,0.6,0.35294117647058826,5
SVM 2,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
SVM 3,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 3,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 4,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.16666666666666666,0.5,0.25,4
SVM 4,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.8888888888888888,0.6153846153846154,0.7272727272727274,26
SVM 5,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 5,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM mean,Pearson Coeff,Random Under Sampler,Not Normalized,0,0.6778494623655915,0.24956709956709955,0.5900000000000001,0.34831550802139033
SVM mean,Pearson Coeff,Random Under Sampler,Not Normalized,1,0.6778494623655915,0.9088075260615307,0.6923076923076923,0.7845159671246628
SVM 1,Pearson Coeff,Not balanced,Standardization,0,,0.4,0.4,0.4000000000000001,5
SVM 1,Pearson Coeff,Not balanced,Standardization,1,,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
SVM 2,Pearson Coeff,Not balanced,Standardization,0,,0.375,0.6,0.4615384615384615,5
SVM 2,Pearson Coeff,Not balanced,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 3,Pearson Coeff,Not balanced,Standardization,0,,0.5,0.25,0.3333333333333333,4
SVM 3,Pearson Coeff,Not balanced,Standardization,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 4,Pearson Coeff,Not balanced,Standardization,0,,0.5,0.25,0.3333333333333333,4
SVM 4,Pearson Coeff,Not balanced,Standardization,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 5,Pearson Coeff,Not balanced,Standardization,0,,0.3333333333333333,0.75,0.46153846153846156,4
SVM 5,Pearson Coeff,Not balanced,Standardization,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
SVM mean,Pearson Coeff,Not balanced,Standardization,0,0.8161290322580645,0.4216666666666667,0.45,0.39794871794871794
SVM mean,Pearson Coeff,Not balanced,Standardization,1,0.8161290322580645,0.9071508201942985,0.876923076923077,0.8889347846794656
SVM 1,Pearson Coeff,Not balanced,MinMax Scaler,0,,0.4,0.4,0.4000000000000001,5
SVM 1,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
SVM 2,Pearson Coeff,Not balanced,MinMax Scaler,0,,0.375,0.6,0.4615384615384615,5
SVM 2,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 3,Pearson Coeff,Not balanced,MinMax Scaler,0,,0.5,0.25,0.3333333333333333,4
SVM 3,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 4,Pearson Coeff,Not balanced,MinMax Scaler,0,,0.5,0.25,0.3333333333333333,4
SVM 4,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 5,Pearson Coeff,Not balanced,MinMax Scaler,0,,0.3333333333333333,0.75,0.46153846153846156,4
SVM 5,Pearson Coeff,Not balanced,MinMax Scaler,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
SVM mean,Pearson Coeff,Not balanced,MinMax Scaler,0,0.8161290322580645,0.4216666666666667,0.45,0.39794871794871794
SVM mean,Pearson Coeff,Not balanced,MinMax Scaler,1,0.8161290322580645,0.9071508201942985,0.876923076923077,0.8889347846794656
SVM 1,Pearson Coeff,Not balanced,Not Normalized,0,,0.4,0.4,0.4000000000000001,5
SVM 1,Pearson Coeff,Not balanced,Not Normalized,1,,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
SVM 2,Pearson Coeff,Not balanced,Not Normalized,0,,0.375,0.6,0.4615384615384615,5
SVM 2,Pearson Coeff,Not balanced,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 3,Pearson Coeff,Not balanced,Not Normalized,0,,0.5,0.25,0.3333333333333333,4
SVM 3,Pearson Coeff,Not balanced,Not Normalized,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 4,Pearson Coeff,Not balanced,Not Normalized,0,,0.5,0.25,0.3333333333333333,4
SVM 4,Pearson Coeff,Not balanced,Not Normalized,1,,0.8928571428571429,0.9615384615384616,0.9259259259259259,26
SVM 5,Pearson Coeff,Not balanced,Not Normalized,0,,0.3333333333333333,0.75,0.46153846153846156,4
SVM 5,Pearson Coeff,Not balanced,Not Normalized,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
SVM mean,Pearson Coeff,Not balanced,Not Normalized,0,0.8161290322580645,0.4216666666666667,0.45,0.39794871794871794
SVM mean,Pearson Coeff,Not balanced,Not Normalized,1,0.8161290322580645,0.9071508201942985,0.876923076923077,0.8889347846794656
SVM 1,Information Gain,Random Over Sampler,Standardization,0,,0.375,0.6,0.4615384615384615,5
SVM 1,Information Gain,Random Over Sampler,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 2,Information Gain,Random Over Sampler,Standardization,0,,0.5,0.2,0.28571428571428575,5
SVM 2,Information Gain,Random Over Sampler,Standardization,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
SVM 3,Information Gain,Random Over Sampler,Standardization,0,,0.4,0.5,0.4444444444444445,4
SVM 3,Information Gain,Random Over Sampler,Standardization,1,,0.92,0.8846153846153846,0.9019607843137256,26
SVM 4,Information Gain,Random Over Sampler,Standardization,0,,0.5,0.5,0.5,4
SVM 4,Information Gain,Random Over Sampler,Standardization,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 5,Information Gain,Random Over Sampler,Standardization,0,,0.5,0.75,0.6,4
SVM 5,Information Gain,Random Over Sampler,Standardization,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Information Gain,Random Over Sampler,Standardization,0,0.8359139784946237,0.45499999999999996,0.51,0.4583394383394383
SVM mean,Information Gain,Random Over Sampler,Standardization,1,0.8359139784946237,0.9153045400376734,0.8923076923076924,0.902254294724883
SVM 1,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.375,0.6,0.4615384615384615,5
SVM 1,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 2,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.5,0.2,0.28571428571428575,5
SVM 2,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
SVM 3,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.4,0.5,0.4444444444444445,4
SVM 3,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.92,0.8846153846153846,0.9019607843137256,26
SVM 4,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.5,0.5,0.5,4
SVM 4,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 5,Information Gain,Random Over Sampler,MinMax Scaler,0,,0.5,0.75,0.6,4
SVM 5,Information Gain,Random Over Sampler,MinMax Scaler,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Information Gain,Random Over Sampler,MinMax Scaler,0,0.8359139784946237,0.45499999999999996,0.51,0.4583394383394383
SVM mean,Information Gain,Random Over Sampler,MinMax Scaler,1,0.8359139784946237,0.9153045400376734,0.8923076923076924,0.902254294724883
SVM 1,Information Gain,Random Over Sampler,Not Normalized,0,,0.375,0.6,0.4615384615384615,5
SVM 1,Information Gain,Random Over Sampler,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 2,Information Gain,Random Over Sampler,Not Normalized,0,,0.5,0.2,0.28571428571428575,5
SVM 2,Information Gain,Random Over Sampler,Not Normalized,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
SVM 3,Information Gain,Random Over Sampler,Not Normalized,0,,0.4,0.5,0.4444444444444445,4
SVM 3,Information Gain,Random Over Sampler,Not Normalized,1,,0.92,0.8846153846153846,0.9019607843137256,26
SVM 4,Information Gain,Random Over Sampler,Not Normalized,0,,0.5,0.5,0.5,4
SVM 4,Information Gain,Random Over Sampler,Not Normalized,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 5,Information Gain,Random Over Sampler,Not Normalized,0,,0.5,0.75,0.6,4
SVM 5,Information Gain,Random Over Sampler,Not Normalized,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Information Gain,Random Over Sampler,Not Normalized,0,0.8359139784946237,0.45499999999999996,0.51,0.4583394383394383
SVM mean,Information Gain,Random Over Sampler,Not Normalized,1,0.8359139784946237,0.9153045400376734,0.8923076923076924,0.902254294724883
SVM 1,Information Gain,Random Under Sampler,Standardization,0,,0.18181818181818182,0.4,0.25000000000000006,5
SVM 1,Information Gain,Random Under Sampler,Standardization,1,,0.85,0.6538461538461539,0.7391304347826088,26
SVM 2,Information Gain,Random Under Sampler,Standardization,0,,0.25,0.4,0.3076923076923077,5
SVM 2,Information Gain,Random Under Sampler,Standardization,1,,0.8695652173913043,0.7692307692307693,0.8163265306122449,26
SVM 3,Information Gain,Random Under Sampler,Standardization,0,,0.3,0.75,0.4285714285714285,4
SVM 3,Information Gain,Random Under Sampler,Standardization,1,,0.95,0.7307692307692307,0.8260869565217392,26
SVM 4,Information Gain,Random Under Sampler,Standardization,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 4,Information Gain,Random Under Sampler,Standardization,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM 5,Information Gain,Random Under Sampler,Standardization,0,,0.36363636363636365,1.0,0.5333333333333333,4
SVM 5,Information Gain,Random Under Sampler,Standardization,1,,1.0,0.7307692307692307,0.8444444444444443,26
SVM mean,Information Gain,Random Under Sampler,Standardization,0,0.704516129032258,0.2736363636363636,0.6599999999999999,0.38391941391941387
SVM mean,Information Gain,Random Under Sampler,Standardization,1,0.704516129032258,0.923386727688787,0.7153846153846153,0.8051976732722075
SVM 1,Information Gain,Random Under Sampler,MinMax Scaler,0,,0.18181818181818182,0.4,0.25000000000000006,5
SVM 1,Information Gain,Random Under Sampler,MinMax Scaler,1,,0.85,0.6538461538461539,0.7391304347826088,26
SVM 2,Information Gain,Random Under Sampler,MinMax Scaler,0,,0.25,0.4,0.3076923076923077,5
SVM 2,Information Gain,Random Under Sampler,MinMax Scaler,1,,0.8695652173913043,0.7692307692307693,0.8163265306122449,26
SVM 3,Information Gain,Random Under Sampler,MinMax Scaler,0,,0.3,0.75,0.4285714285714285,4
SVM 3,Information Gain,Random Under Sampler,MinMax Scaler,1,,0.95,0.7307692307692307,0.8260869565217392,26
SVM 4,Information Gain,Random Under Sampler,MinMax Scaler,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 4,Information Gain,Random Under Sampler,MinMax Scaler,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM 5,Information Gain,Random Under Sampler,MinMax Scaler,0,,0.36363636363636365,1.0,0.5333333333333333,4
SVM 5,Information Gain,Random Under Sampler,MinMax Scaler,1,,1.0,0.7307692307692307,0.8444444444444443,26
SVM mean,Information Gain,Random Under Sampler,MinMax Scaler,0,0.704516129032258,0.2736363636363636,0.6599999999999999,0.38391941391941387
